1. Amar Opening | ECO: A00 | Moves: 1. Nh3
2. Amar Opening: Paris Gambit | ECO: A00 | Moves: 1. Nh3 d5 2. g3 e5 3. f4
3. Amar Opening: Paris Gambit, Gent Gambit | ECO: A00 | Moves: 1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3
4. Amsterdam Attack | ECO: A00 | Moves: 1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
5. Anderssen's Opening | ECO: A00 | Moves: 1. a3
6. Anderssen's Opening: Polish Gambit | ECO: A00 | Moves: 1. a3 a5 2. b4
7. Barnes Opening | ECO: A00 | Moves: 1. f3
8. Barnes Opening: Fool's Mate | ECO: A00 | Moves: 1. f3 e5 2. g4 Qh4#
9. Barnes Opening: Gedult Gambit | ECO: A00 | Moves: 1. f3 f5 2. e4 fxe4 3. Nc3
10. Barnes Opening: Hammerschlag | ECO: A00 | Moves: 1. f3 e5 2. Kf2
11. Clemenz Opening | ECO: A00 | Moves: 1. h3
12. Clemenz Opening: Spike Lee Gambit | ECO: A00 | Moves: 1. h3 h5 2. g4
13. Creepy Crawly Formation: Classical Defense | ECO: A00 | Moves: 1. h3 d5 2. a3 e5
14. Formation: Hippopotamus Attack | ECO: A00 | Moves: 1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3
15. Formation: Shy Attack | ECO: A00 | Moves: 1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3
16. Global Opening | ECO: A00 | Moves: 1. h3 e5 2. a3
17. Grob Opening | ECO: A00 | Moves: 1. g4
18. Grob Opening: Alessi Gambit | ECO: A00 | Moves: 1. g4 f5
19. Grob Opening: Double Grob | ECO: A00 | Moves: 1. g4 g5
20. Grob Opening: Double Grob, Coca-Cola Gambit | ECO: A00 | Moves: 1. g4 g5 2. f4
21. Grob Opening: Grob Gambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2
22. Grob Opening: Grob Gambit Declined | ECO: A00 | Moves: 1. g4 d5 2. Bg2 c6
23. Grob Opening: Grob Gambit, Basman Gambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 h5 3. gxh5
24. Grob Opening: Grob Gambit, Fritz Gambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 Bxg4 3. c4
25. Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8
26. Grob Opening: Grob Gambit, Keres Gambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3
27. Grob Opening: Grob Gambit, Richter-Grob Gambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3
28. Grob Opening: Keene Defense | ECO: A00 | Moves: 1. g4 d5 2. h3 e5 3. Bg2 c6
29. Grob Opening: Keene Defense, Main Line | ECO: A00 | Moves: 1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7
30. Grob Opening: London Defense | ECO: A00 | Moves: 1. g4 e5 2. h3 Nc6
31. Grob Opening: Romford Countergambit | ECO: A00 | Moves: 1. g4 d5 2. Bg2 Bxg4 3. c4 d4
32. Grob Opening: Spike Attack | ECO: A00 | Moves: 1. g4 d5 2. Bg2 c6 3. g5
33. Grob Opening: Spike, Hurst Attack | ECO: A00 | Moves: 1. g4 e5 2. Bg2 d5 3. c4
34. Grob Opening: Zilbermints Gambit | ECO: A00 | Moves: 1. g4 d5 2. e4 dxe4 3. Nc3
35. Grob Opening: Zilbermints Gambit, Schiller Defense | ECO: A00 | Moves: 1. g4 d5 2. e4 dxe4 3. Nc3 h5
36. Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit | ECO: A00 | Moves: 1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3
37. Hungarian Opening | ECO: A00 | Moves: 1. g3
38. Hungarian Opening: Asten Gambit | ECO: A00 | Moves: 1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5
39. Hungarian Opening: Burk Gambit | ECO: A00 | Moves: 1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3
40. Hungarian Opening: Bücker Gambit | ECO: A00 | Moves: 1. g3 d5 2. Bg2 e5 3. b4
41. Hungarian Opening: Catalan Formation | ECO: A00 | Moves: 1. g3 d5 2. Bg2 e6
42. Hungarian Opening: Dutch Defense | ECO: A00 | Moves: 1. g3 f5
43. Hungarian Opening: Indian Defense | ECO: A00 | Moves: 1. g3 Nf6
44. Hungarian Opening: Myers Defense | ECO: A00 | Moves: 1. g3 g5
45. Hungarian Opening: Pachman Gambit | ECO: A00 | Moves: 1. g3 f5 2. e4 fxe4 3. Qh5+ g6
46. Hungarian Opening: Paris Gambit | ECO: A00 | Moves: 1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O
47. Hungarian Opening: Reversed Alekhine | ECO: A00 | Moves: 1. g3 e5 2. Nf3
48. Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit | ECO: A00 | Moves: 1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4
49. Hungarian Opening: Reversed Modern Defense | ECO: A00 | Moves: 1. g3 d5 2. Bg2 c5
50. Hungarian Opening: Reversed Norwegian Defense | ECO: A00 | Moves: 1. g3 e5 2. Nf3 e4 3. Nh4
51. Hungarian Opening: Sicilian Invitation | ECO: A00 | Moves: 1. g3 c5
52. Hungarian Opening: Slav Formation | ECO: A00 | Moves: 1. g3 d5 2. Bg2 c6
53. Hungarian Opening: Symmetrical Variation | ECO: A00 | Moves: 1. g3 g6
54. Hungarian Opening: Van Kuijk Gambit | ECO: A00 | Moves: 1. g3 h5 2. Nf3 h4
55. Hungarian Opening: Winterberg Gambit | ECO: A00 | Moves: 1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3
56. Kádas Opening | ECO: A00 | Moves: 1. h4
57. Kádas Opening: Beginner's Trap | ECO: A00 | Moves: 1. h4 d5 2. Rh3
58. Kádas Opening: Koola-Koola Variation | ECO: A00 | Moves: 1. h4 a5
59. Kádas Opening: Kádas Gambit | ECO: A00 | Moves: 1. h4 c5 2. b4
60. Kádas Opening: Myers Variation | ECO: A00 | Moves: 1. h4 d5 2. d4 c5 3. e4
61. Kádas Opening: Schneider Gambit | ECO: A00 | Moves: 1. h4 g5
62. Kádas Opening: Steinbok Gambit | ECO: A00 | Moves: 1. h4 f5 2. e4 fxe4 3. d3
63. Lasker Simul Special | ECO: A00 | Moves: 1. g3 h5
64. Mieses Opening | ECO: A00 | Moves: 1. d3
65. Mieses Opening: Myers Spike Attack | ECO: A00 | Moves: 1. d3 g6 2. g4
66. Mieses Opening: Reversed Rat | ECO: A00 | Moves: 1. d3 e5
67. Mieses Opening: Venezolana Variation | ECO: A00 | Moves: 1. d3 c5 2. Nc3 Nc6 3. g3
68. Polish Opening | ECO: A00 | Moves: 1. b4
69. Polish Opening: Baltic Defense | ECO: A00 | Moves: 1. b4 d5 2. Bb2 Bf5
70. Polish Opening: Birmingham Gambit | ECO: A00 | Moves: 1. b4 c5
71. Polish Opening: Bugayev Advance Variation | ECO: A00 | Moves: 1. b4 e5 2. Bb2 f6 3. b5
72. Polish Opening: Bugayev Attack | ECO: A00 | Moves: 1. b4 e5 2. a3
73. Polish Opening: Czech Defense | ECO: A00 | Moves: 1. b4 e5 2. Bb2 d6
74. Polish Opening: Dutch Defense | ECO: A00 | Moves: 1. b4 f5
75. Polish Opening: German Defense | ECO: A00 | Moves: 1. b4 d5 2. Bb2 Qd6
76. Polish Opening: Grigorian Variation | ECO: A00 | Moves: 1. b4 Nc6
77. Polish Opening: Karniewski Variation | ECO: A00 | Moves: 1. b4 Nh6
78. Polish Opening: King's Indian Variation | ECO: A00 | Moves: 1. b4 Nf6 2. Bb2 g6
79. Polish Opening: King's Indian Variation, Schiffler Attack | ECO: A00 | Moves: 1. b4 Nf6 2. Bb2 g6 3. e4
80. Polish Opening: King's Indian Variation, Sokolsky Attack | ECO: A00 | Moves: 1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4
81. Polish Opening: Myers Variation | ECO: A00 | Moves: 1. b4 d5 2. Bb2 c6 3. a4
82. Polish Opening: Outflank Variation | ECO: A00 | Moves: 1. b4 c6
83. Polish Opening: Queen's Indian Variation | ECO: A00 | Moves: 1. b4 e6 2. Bb2 Nf6 3. b5 b6
84. Polish Opening: Queenside Defense | ECO: A00 | Moves: 1. b4 e6 2. Bb2 Nf6 3. b5 a6
85. Polish Opening: Rooks Swap Line | ECO: A00 | Moves: 1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1
86. Polish Opening: Schiffler-Sokolsky Variation | ECO: A00 | Moves: 1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3
87. Polish Opening: Schuehler Gambit | ECO: A00 | Moves: 1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4
88. Polish Opening: Symmetrical Variation | ECO: A00 | Moves: 1. b4 b5
89. Polish Opening: Tartakower Gambit | ECO: A00 | Moves: 1. b4 e5 2. Bb2 f6 3. e4
90. Polish Opening: Wolferts Gambit | ECO: A00 | Moves: 1. b4 e5 2. Bb2 c5
91. Saragossa Opening | ECO: A00 | Moves: 1. c3
92. Sodium Attack | ECO: A00 | Moves: 1. Na3
93. Sodium Attack: Celadon Variation | ECO: A00 | Moves: 1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1
